Time,Global Solar(kW/m2),PV Cell Temperature(C),Wind Speed(m/s),Ambient Temperature,AC Load(kW)
01/01/2007 00:00,0,23.72726,2.856398,23.72726,0.1064651
01/01/2007 01:00,0,23.72726,2.546373,23.72726,0.09153941
01/01/2007 02:00,0,23.72726,2.334827,23.72726,0.252012
01/01/2007 03:00,0,23.72726,0.9273667,23.72726,0.2662311
01/01/2007 04:00,0,23.72726,1.141059,23.72726,0.4154824
01/01/2007 05:00,0,23.72726,1.086491,23.72726,0.5146828
01/01/2007 06:00,0,23.72726,0.8471525,23.72726,0.6764009
01/01/2007 07:00,0,23.72726,1.157574,23.72726,0.5091441
01/01/2007 08:00,0.019883,24.22824,1.102792,23.72726,0.4443573
01/01/2007 09:00,0.1019004,26.31713,0.8903844,23.72726,0.4870844
01/01/2007 10:00,0.1441517,27.39384,1.35466,23.72726,0.5108054
01/01/2007 11:00,0.1888884,28.54026,0.5347136,23.72726,0.6200044
01/01/2007 12:00,0.2286544,29.56703,0.4529751,23.72726,0.7878069
01/01/2007 13:00,0.1938592,28.66916,0.5570174,23.72726,0.5727679
01/01/2007 14:00,0.1565786,27.71495,0.4406244,23.72726,0.4424216
01/01/2007 15:00,0.1081138,26.47791,1.13984,23.72726,0.3480865
01/01/2007 16:00,0.03106718,24.51235,1.482952,23.72726,0.4425319
01/01/2007 17:00,0,23.72726,1.478781,23.72726,0.6431294
01/01/2007 18:00,0,23.72726,0.8961835,23.72726,1.308491
01/01/2007 19:00,0,23.72726,1.630812,23.72726,1.094731
01/01/2007 20:00,0,23.72726,2.032578,23.72726,0.7653068
01/01/2007 21:00,0,23.72726,1.842276,23.72726,0.5559542
01/01/2007 22:00,0,23.72726,1.168526,23.72726,0.3002485
01/01/2007 23:00,0,23.72726,1.415972,23.72726,0.212078
01/02/2007 00:00,0,23.72726,1.678743,23.72726,0.09184034
01/02/2007 01:00,0,23.72726,1.637758,23.72726,0.07132194
01/02/2007 02:00,0,23.72726,1.981293,23.72726,0.1155991
01/02/2007 03:00,0,23.72726,1.129913,23.72726,0.1918336
01/02/2007 04:00,0,23.72726,1.650074,23.72726,0.2210096
01/02/2007 05:00,0,23.72726,2.732783,23.72726,0.2987222
01/02/2007 06:00,0,23.72726,1.865318,23.72726,0.4177688
01/02/2007 07:00,0,23.72726,2.336058,23.72726,0.3521754
01/02/2007 08:00,0.03976599,24.73384,1.9724,23.72726,0.3005848
01/02/2007 09:00,0.1677628,28.02482,1.61631,23.72726,0.310002
01/02/2007 10:00,0.3094291,31.82787,2.142379,23.72726,0.317882
01/02/2007 11:00,0.401388,34.44612,2.350662,23.72726,0.3654134
01/02/2007 12:00,0.4324551,35.34906,1.888173,23.72726,0.5391693
01/02/2007 13:00,0.4001453,34.41404,2.016042,23.72726,0.4447987
01/02/2007 14:00,0.2783619,30.93838,2.285799,23.72726,0.355841
01/02/2007 15:00,0.142909,27.37832,1.944302,23.72726,0.2898371
01/02/2007 16:00,0.02609643,24.38591,1.995805,23.72726,0.3224058
01/02/2007 17:00,0,23.72726,1.102075,23.72726,0.5459017
01/02/2007 18:00,0,23.72726,1.259053,23.72726,0.7625878
01/02/2007 19:00,0,23.72726,0.960408,23.72726,0.7176431
01/02/2007 20:00,0,23.72726,1.498753,23.72726,0.5158756
01/02/2007 21:00,0,23.72726,1.077035,23.72726,0.3060565
01/02/2007 22:00,0,23.72726,0.8115419,23.72726,0.1990524
01/02/2007 23:00,0,23.72726,1.277794,23.72726,0.1671417
01/03/2007 00:00,0,23.72726,1.366383,23.72726,0.1153876
01/03/2007 01:00,0,23.72726,1.442187,23.72726,0.08680034
01/03/2007 02:00,0,23.72726,1.186823,23.72726,0.2076082
01/03/2007 03:00,0,23.72726,1.684486,23.72726,0.2374206
01/03/2007 04:00,0,23.72726,1.941039,23.72726,0.3461821
01/03/2007 05:00,0,23.72726,2.353381,23.72726,0.4717289
01/03/2007 06:00,0,23.72726,1.523624,23.72726,0.6237084
01/03/2007 07:00,0,23.72726,1.69348,23.72726,0.4192974
01/03/2007 08:00,0.02858181,24.44892,2.444092,23.72726,0.4161027
01/03/2007 09:00,0.0969296,26.18931,3.275754,23.72726,0.4396634
01/03/2007 10:00,0.2174703,29.29435,2.813516,23.72726,0.485563
01/03/2007 11:00,0.2746339,30.7763,2.004591,23.72726,0.6064234
01/03/2007 12:00,0.2460521,30.01873,2.55001,23.72726,0.6551297
01/03/2007 13:00,0.2385959,29.82964,1.88747,23.72726,0.5092878
01/03/2007 14:00,0.2050434,28.97103,2.430479,23.72726,0.3971364
01/03/2007 15:00,0.1342102,27.15211,2.47524,23.72726,0.4148847
01/03/2007 16:00,0.0385233,24.70231,2.105287,23.72726,0.418138
01/03/2007 17:00,0,23.72726,2.956321,23.72726,0.788462
01/03/2007 18:00,0,23.72726,3.75894,23.72726,1.245559
01/03/2007 19:00,0,23.72726,4.417266,23.72726,0.8581307
01/03/2007 20:00,0,23.72726,3.775121,23.72726,0.6825913
01/03/2007 21:00,0,23.72726,4.022179,23.72726,0.490281
01/03/2007 22:00,0,23.72726,3.989613,23.72726,0.3475563
01/03/2007 23:00,0,23.72726,2.715488,23.72726,0.2176923
01/04/2007 00:00,0,23.72726,2.106278,23.72726,0.09422297
01/04/2007 01:00,0,23.72726,2.744817,23.72726,0.09846089
01/04/2007 02:00,0,23.72726,2.844517,23.72726,0.2220166
01/04/2007 03:00,0,23.72726,2.389093,23.72726,0.1770628
01/04/2007 04:00,0,23.72726,2.873005,23.72726,0.2625621
01/04/2007 05:00,0,23.72726,4.066536,23.72726,0.3702687
01/04/2007 06:00,0,23.72726,4.377945,23.72726,0.605552
01/04/2007 07:00,0,23.72726,4.457952,23.72726,0.3708347
01/04/2007 08:00,0.01864031,24.1968,5.341509,23.72726,0.3374951
01/04/2007 09:00,0.07331854,25.5842,5.938312,23.72726,0.3339829
01/04/2007 10:00,0.1727335,28.1317,7.411285,23.72726,0.5347809
01/04/2007 11:00,0.2472948,30.05573,6.315051,23.72726,0.4911714
01/04/2007 12:00,0.2410813,29.88912,5.946522,23.72726,0.5754017
01/04/2007 13:00,0.1329675,27.10063,6.561901,23.72726,0.4670744
01/04/2007 14:00,0.1379383,27.23379,5.694678,23.72726,0.3906868
01/04/2007 15:00,0.04722211,24.91933,5.63766,23.72726,0.3344514
01/04/2007 16:00,0.01615493,24.13396,5.384651,23.72726,0.2993941
01/04/2007 17:00,0,23.72726,5.829217,23.72726,0.5518444
01/04/2007 18:00,0,23.72726,6.034148,23.72726,1.167846
01/04/2007 19:00,0,23.72726,5.048118,23.72726,0.8948615
01/04/2007 20:00,0,23.72726,4.608844,23.72726,0.5562755
01/04/2007 21:00,0,23.72726,4.36615,23.72726,0.435956
01/04/2007 22:00,0,23.72726,3.966241,23.72726,0.281922
01/04/2007 23:00,0,23.72726,2.402254,23.72726,0.1917485
01/05/2007 00:00,0,23.72726,1.901281,23.72726,0.07695545
01/05/2007 01:00,0,23.72726,1.042868,23.72726,0.07560975
01/05/2007 02:00,0,23.72726,0.9746759,23.72726,0.1680556
01/05/2007 03:00,0,23.72726,0.5787749,23.72726,0.2020654
01/05/2007 04:00,0,23.72726,1.220586,23.72726,0.2399426
01/05/2007 05:00,0,23.72726,0.8758034,23.72726,0.3828461
01/05/2007 06:00,0,23.72726,0.7323137,23.72726,0.4636036
01/05/2007 07:00,0,23.72726,0.8038075,23.72726,0.303452
01/05/2007 08:00,0.03106718,24.51214,1.146894,23.72726,0.3279475
01/05/2007 09:00,0.08201735,25.80673,1.235953,23.72726,0.3329898
01/05/2007 10:00,0.1466371,27.45761,1.52363,23.72726,0.3708483
01/05/2007 11:00,0.2174703,29.27983,1.841709,23.72726,0.3757292
01/05/2007 12:00,0.2286544,29.56601,2.163295,23.72726,0.427556
01/05/2007 13:00,0.2211983,29.37657,2.592334,23.72726,0.4604269
01/05/2007 14:00,0.1665201,27.9708,2.375533,23.72726,0.2860019
01/05/2007 15:00,0.1168126,26.70134,2.14079,23.72726,0.3760204
01/05/2007 16:00,0.03355255,24.5754,1.961158,23.72726,0.2624194
01/05/2007 17:00,0,23.72726,2.006083,23.72726,0.5037944
01/05/2007 18:00,0,23.72726,1.720563,23.72726,0.8609856
01/05/2007 19:00,0,23.72726,1.424107,23.72726,0.750987
01/05/2007 20:00,0,23.72726,1.599917,23.72726,0.4997671
01/05/2007 21:00,0,23.72726,2.010724,23.72726,0.3046624
01/05/2007 22:00,0,23.72726,2.63493,23.72726,0.2344749
01/05/2007 23:00,0,23.72726,2.790875,23.72726,0.1655924
