Time,Global Solar(kW/m2),PV Cell Temperature(C),Wind Speed(m/s),Ambient Temperature,AC Load(kW)
01/01/1900 00:00,0,23.72726,2.856398,23.72726,0.2673617
01/01/2007 01:00,0,23.72726,2.546373,23.72726,0.2612681
01/01/2007 02:00,0,23.72726,2.334827,23.72726,0.2974151
01/01/2007 03:00,0,23.72726,0.9273667,23.72726,0.3404752
01/01/2007 04:00,0,23.72726,1.141059,23.72726,0.3904492
01/01/2007 05:00,0,23.72726,1.086491,23.72726,0.4923725
01/01/2007 06:00,0,23.72726,0.8471525,23.72726,0.4859642
01/01/2007 07:00,0,23.72726,1.157574,23.72726,0.4555361
01/01/2007 08:00,0.019883,24.22824,1.102792,23.72726,0.4644561
01/01/2007 09:00,0.1019004,26.31713,0.8903844,23.72726,0.500201
01/01/2007 10:00,0.1441517,27.39384,1.35466,23.72726,0.4583438
01/01/2007 11:00,0.1888884,28.54026,0.5347136,23.72726,0.5737379
01/01/2007 12:00,0.2286544,29.56703,0.4529751,23.72726,0.550549
01/01/2007 13:00,0.1938592,28.66916,0.5570174,23.72726,0.521525
01/01/2007 14:00,0.1565786,27.71495,0.4406244,23.72726,0.5001771
01/01/2007 15:00,0.1081138,26.47791,1.13984,23.72726,0.4279284
01/01/2007 16:00,0.03106718,24.51235,1.482952,23.72726,0.6621894
01/01/2007 17:00,0,23.72726,1.478781,23.72726,0.7370009
01/01/2007 18:00,0,23.72726,0.8961835,23.72726,0.9881616
01/01/2007 19:00,0,23.72726,1.630812,23.72726,0.7948188
01/01/2007 20:00,0,23.72726,2.032578,23.72726,0.7484133
01/01/2007 21:00,0,23.72726,1.842276,23.72726,0.5204268
01/01/2007 22:00,0,23.72726,1.168526,23.72726,0.4238538
01/01/2007 23:00,0,23.72726,1.415972,23.72726,0.4107424
01/02/2007 00:00,0,23.72726,1.678743,23.72726,0.2306352
01/02/2007 01:00,0,23.72726,1.637758,23.72726,0.2035643
01/02/2007 02:00,0,23.72726,1.981293,23.72726,0.1364257
01/02/2007 03:00,0,23.72726,1.129913,23.72726,0.2453304
01/02/2007 04:00,0,23.72726,1.650074,23.72726,0.2076935
01/02/2007 05:00,0,23.72726,2.732783,23.72726,0.2857732
01/02/2007 06:00,0,23.72726,1.865318,23.72726,0.3001485
01/02/2007 07:00,0,23.72726,2.336058,23.72726,0.3150947
01/02/2007 08:00,0.03976599,24.73384,1.9724,23.72726,0.3141806
01/02/2007 09:00,0.1677628,28.02482,1.61631,23.72726,0.31835
01/02/2007 10:00,0.3094291,31.82787,2.142379,23.72726,0.2852344
01/02/2007 11:00,0.401388,34.44612,2.350662,23.72726,0.3381452
01/02/2007 12:00,0.4324551,35.34906,1.888173,23.72726,0.3767917
01/02/2007 13:00,0.4001453,34.41404,2.016042,23.72726,0.4050045
01/02/2007 14:00,0.2783619,30.93838,2.285799,23.72726,0.402294
01/02/2007 15:00,0.142909,27.37832,1.944302,23.72726,0.3563181
01/02/2007 16:00,0.02609643,24.38591,1.995805,23.72726,0.4824369
01/02/2007 17:00,0,23.72726,1.102075,23.72726,0.6255817
01/02/2007 18:00,0,23.72726,1.259053,23.72726,0.5758999
01/02/2007 19:00,0,23.72726,0.960408,23.72726,0.5210379
01/02/2007 20:00,0,23.72726,1.498753,23.72726,0.5044882
01/02/2007 21:00,0,23.72726,1.077035,23.72726,0.2864985
01/02/2007 22:00,0,23.72726,0.8115419,23.72726,0.2809977
01/02/2007 23:00,0,23.72726,1.277794,23.72726,0.3237119
01/03/2007 00:00,0,23.72726,1.366383,23.72726,0.2897686
